name,url,price,imgs
Double Folded Singlet,/en/products/double-folded-singlet-black-1044-000288-0002,23.97,"/globalassets/carlotasardinhaa_1044-000288-0002_social.jpg?ref=F5092B2BAD, /globalassets/nakd_double_folded_singlet_1044-000288-0002_21730-copy.jpg?ref=73E81E7274, /globalassets/nakd_double_folded_singlet_1044-000288-0002_21732.jpg?ref=26A41C5144, /globalassets/nakd_double_folded_singlet_1044-000288-0002_01c.jpg?ref=A9C3B635CA, /globalassets/nakd_double_folded_singlet_1044-000288-0002_21718.jpg?ref=7AC39C49CA, /globalassets/nakd_double_folded_singlet_1044-000288-0002_edit.jpg?ref=89AD7307B7, /globalassets/double_folded_singlet-1044-000288-0002_9401_flatlay.jpg?ref=6F9B8DB5A9"
Boat Neck Knitted Ombre Top,/en/products/boat-neck-knitted-ombre-top-yellow-ombre-1812-000422-9737,29.97,"/globalassets/boat_neck_knitted_ombre_top_1812-000422-9737_campaign.jpg?ref=CE77A4AC0D, /globalassets/boat_neck_knitted_ombre_top_1812-000422-9737_11150.jpg?ref=A1F51DFFDF, /globalassets/boat_neck_knitted_ombre_top_1812-000422-9737_11160.jpg?ref=BDF85A50A4, /globalassets/boat_neck_knitted_ombre_top_1812-000422-9737_11145_01c.jpg?ref=4E47BCAAB4, /globalassets/boat_neck_knitted_ombre_top_1812-000422-9737_11179.jpg?ref=14AE2AB2DD, /globalassets/boat_neck_knitted_ombre_top_1812-000422-9737_11156.jpg?ref=1A5D0AF695, /globalassets/boat_neck_kintted_ombre_top_1812-000422-97372866_flatlayf.jpg?ref=EB92D0198C"
Linen Blend Tie Straps Midi Dress,/en/products/linen-blend-tie-straps-midi-dress-off-white-1821-000005-4070,49.97,"/globalassets/adanielarocha_1821-000005-4070_social.jpg?ref=A2BD95BDEB, /globalassets/linen_blend_tie_straps_midi_dress_1821-000005-4070_1602.jpg?ref=F33B47E404, /globalassets/linen_blend_tie_straps_midi_dress_1821-000005-4070_1625.jpg?ref=3697FBBEE6, /globalassets/linen_blend_tie_straps_midi_dress_1821-000005-4070_1610.jpg?ref=7E31EA3C8D, /globalassets/linen_blend_tie_straps_midi_dress_1821-000005-4070_1615.jpg?ref=90F9DA3E17, /globalassets/linen_blend_tie_straps_midi_dress_1821-000005-4070_campaign.jpg?ref=211F20FE30, /globalassets/linen_blend_tie_straps_midi_dress_1821-000005-4070_1_flatlayf.jpg?ref=868E5F72AB"
Frill Detail Tie Vest,/en/products/frill-detail-tie-vest-offwhite-1789-000054-0260,39.95,"/globalassets/frill_detail_tie_vest_1789-000054-0260_10628.jpg?ref=1A95257931, /globalassets/frill_detail_tie_vest_1789-000054-0260_10649.jpg?ref=3C0A05D51B, /globalassets/frill_detail_tie_vest_1789-000054-0260_10610.jpg?ref=077D9C3037, /globalassets/frill_detail_tie_vest_1789-000054-0260_10687.jpg?ref=FF42F5E4FE, /globalassets/frill_detail_tie_vest_1789-000054-0260_10637.jpg?ref=E0C4C3EB0B, /globalassets/frill_detail_tie_vest_1789-000054-0260_10_campaign.jpg?ref=22417B26AB, /globalassets/frill_detail_tie_vest_1789-000054-0260_1_campaign.jpg?ref=040C4364B7, /globalassets/frill_detail_tie_vest-1789-000054-0260_3097_flatlay.jpg?ref=B17D7B8EED"
Off shoulder Waterfall Top,/en/products/offshoulder-waterfall-top-offwhite-1018-010370-0260,29.97,"/globalassets/off_shoulder_waterfall_top_1018-010370-0260_3_social.jpg?ref=CACF3E8223, /globalassets/offshoulder_waterfall_top-1018-010370-02603663.jpg?ref=8CE09D765A, /globalassets/offshoulder_waterfall_top-1018-010370-02603681.jpg?ref=24C6C842DB, /globalassets/offshoulder_waterfall_top-1018-010370-02603643_r_01c.jpg?ref=1733493C46, /globalassets/offshoulder_waterfall_top-1018-010370-02603678.jpg?ref=753CD2DEEB"
Triangle Chest Detail Mini Dress,/en/products/triangle-chest-detail-mini-dress-white-1804-000052-0001,37.47,"/globalassets/triangle_chest_detail_mini_dress__1804-000052-0001_creative.jpg?ref=BCB7CC69C0, /globalassets/triangle_chest_detail_mini_dress_1804-000052-000110372.jpg?ref=F019B7CA65, /globalassets/triangle_chest_detail_mini_dress_1804-000052-000110385.jpg?ref=1BE2B60EE7, /globalassets/triangle_chest_detail_mini_dress_1804-000052-000110359.jpg?ref=D27272B4EA, /globalassets/triangle_chest_detail_mini_dress_1804-000052-000110395.jpg?ref=826F91AD17, /globalassets/triangle_chest_detail_mini_dress_1804-000052-000110381.jpg?ref=DC2E711CF8, /globalassets/triangle_chest_detail_mini_dress_1804-000052-0001_campaign.jpg?ref=3891F1DEA9, /globalassets/triangle_chest_detail_mini_dress_1804-000052-00011697_flatlayf.jpg?ref=4DF8F475B7"
Twist Off Shoulder Top,/en/products/twist-off-shoulder-top-black-1100-008387-0002,29.97,"/globalassets/nakd_1100-008387-0002_creative.jpg?ref=90AA0D31AF, /globalassets/twist_off_shoulder_top_1100-008387-00025223.jpg?ref=F8019D58C9, /globalassets/twist_off_shoulder_top_1100-008387-00025213.jpg?ref=80345B8E23, /globalassets/twist_off_shoulder_top_1100-008387-00025196_01c.jpg?ref=1EEE2B319F, /globalassets/twist_off_shoulder_top_1100-008387-00025202.jpg?ref=BF1D71D068, /globalassets/twist_off_shoulder_top-1100-008387-0002_7145_flatlayf.jpg?ref=98CABA023E"
Knitted Crochet Midi Dress,/en/products/knitted-crochet-midi-dress-green-1100-008936-0010,42.47,"/globalassets/knitted_crochet_midi_dress_1100-008936-00101943.jpg?ref=B5872424D4, /globalassets/knitted_crochet_midi_dress_1100-008936-00101914_01c.jpg?ref=B849FC76D5, /globalassets/knitted_crochet_midi_dress_1100-008936-00101935.jpg?ref=6FBB5EA5CB, /globalassets/knitted_crochet_midi_dress_1100-008936-00101926.jpg?ref=BD4F52FAB3, /globalassets/knitted_crochet_midi_dress_1100-008936-0010.jpg?ref=9FFFAC2939, /globalassets/knitted_crochet_midi_dress_1100-008936-00100187_flatlayf.jpg?ref=ED2BBB048A"
Ribbed Tank,/en/products/ribbed-tank-navy-1100-004337-0018,14.97,"/globalassets/mayaweyhe_1100-004337-0018_social_1.jpg?ref=72417A7338, /globalassets/ribbed_tank_1100-004337-0018_5063.jpg?ref=D3C96F3E8B, /globalassets/ribbed_tank_1100-004337-0018_5073.jpg?ref=320348F6D7, /globalassets/ribbed_tank_1100-004337-0018_5058.jpg?ref=F0AC4BC7CB, /globalassets/ribbed_tank_1100-004337-0018_5070.jpg?ref=0E62872FD2, /globalassets/mayaweyhe_1100-004337-0018_social.jpg?ref=501586A314"
Linen Tie Back Top,/en/products/linen-tie-back-top-white,44.97,"/globalassets/linen_tie_back_top_1100-004340-00018133.jpg?ref=A29122CF01, /globalassets/linen_tie_back_top_1100-004340-00018090.jpg?ref=2D1FA5B9EC, /globalassets/linen_tie_back_top_1100-004340-00018101.jpg?ref=E5E083F44D, /globalassets/melissa_poli_1100-004340-0001_social.jpg?ref=88F2308083, /globalassets/insta_tita_1100-004340-0001_social.jpg?ref=E6BD20A022, /globalassets/1100-004340-0001_1100-004340-0001_2_flatlay.jpg?ref=1E612EE445"
